Urdu,Latin
گزاریں,guzarain
ڈھونڈیں,dhoondain
چیخیں,cheekhain
ملیں,milain
گریں,girain
پھینکیں,phaikhain
ہاریں,harain
دھکیلیں,dhaikelain
کھینچیں,khainchain
پھسلیں,philsalain
پکڑیں,pakrdain
نچوڑیں,nachordain
کاٹیں,kaatain
مڑیں,murdain
رکھیں,rakhain
کھیلیں,khailain
چلیں,chalain
لپیٹیں,lapaitain
چھیلیں,cheelain
کریں,krain
پھنسیں,phansain
ڈریں,dordain
گھسیں,ghusain
بیٹھیں,bhaithain
جھکیں,jhukain
اڑیں,urdhain
بہیں,bahain
سلیں,silain
ماریں,marain
نگلیں,niglain
چوسیں,chusain
کھودیں,khodain
ٹھہریں,thehrain
پھیلیں,phelain
ڈوبیں,doobain
جھٹکیں,jhatkain
کھولیں,kholain
پلٹیں,paltain
تیریں,tairain
چھڑکیں,chirdkain
پرکھیں,parkhain
لڑیں,lardain
مانگیں,mangain
ابالیں,ubalain
موڑیں,mordain
جنیں,janain
دیکھیں,deikhain
کھلیں,khilain
جلیں,jalain
کسیں,kasain
پوچھیں,puchain
سراہیں,sarahain
ٹالیں,taalain
بچیں,bachain
جاگیں,jaagain
بغشیں,bakhsain
پڑھیں,pardhain
سیکھیں,sikhain
لکھیں,likhain
کہیں,kahain
بیچیں,baichain
بھاگیں,bhagain
اٹھیں,uthain
سنیں,sunain
رہیں,rahain
بولیں,bolain
بھیجیں,bhejhain
دکھیں,dukhain
سمجھیں,samjhain
بھولیں,bhoolain
چھوڑیں,chordain
لیٹیں,leitain
جیتیں,jeetain
پہنچایا,pohanchaya
چھپایا,chupaya
منایا,manaya
سکھایا,sikhaya
لگایا,lagaya
چھویا,chuya
بنایا,banaya
لٹکایا,latkaya
